brand,model,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,msoffice,latest_price,reviews
hp,pentium,intel,pentium quad,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,1,no,yes,22103.300000000003,9
apple,2021,apple,m1 pro,16.0,unified,1024,0,mac,64,0,casual,14.2,1,no,no,151413.30000000002,8
hp,core,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,0,no,no,30143.300000000003,0
apple,2021,apple,m1 pro,16.0,unified,512,0,mac,64,0,casual,14.2,1,no,no,123943.3,8
asus,vivobook,intel,core i5,8.0,ddr4,512,0,windows,64,4,gaming,15.6,1,no,yes,36843.3,227
apple,2021,apple,m1 pro,16.0,unified,1024,0,mac,64,0,casual,16.2,1,no,no,163473.30000000002,8
apple,2021,apple,m1 pro,16.0,unified,512,0,mac,64,0,casual,16.2,1,no,no,151413.30000000002,8
lenovo,thinkbook,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.0,1,no,yes,40193.3,2
dell,vostro,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,1,no,yes,27798.300000000003,165
dell,inspiron,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.96,0,no,no,28133.300000000003,21
asus,vivobook,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,28803.300000000003,11
asus,vivobook,intel,core i5,8.0,ddr4,256,1024,windows,64,4,gaming,15.6,0,no,no,36508.3,47
apple,2021,apple,m1 max,32.0,unified,1024,0,mac,64,0,casual,16.2,1,no,no,207693.30000000002,1
lenovo,legion,intel,core i5,8.0,ddr4,256,1024,windows,64,4,casual,15.6,1,no,yes,40863.3,17
lenovo,ideapad,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,36173.3,2
hp,pavilion,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,44889.33,1
lenovo,ideapad,amd,ryzen 5,8.0,ddr4,256,1024,windows,64,0,gaming,15.6,1,no,yes,42873.3,116
infinix,x1,intel,core i7,16.0,lpddr4x,512,0,windows,64,8,casual,14.0,0,no,no,36843.3,14
dell,core,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,yes,no,40729.3,1
asus,rog,amd,ryzen 7,8.0,ddr4,512,0,windows,64,4,casual,15.6,0,no,no,48233.3,235
dell,inspiron,intel,core i3,8.0,ddr4,256,1024,windows,64,0,thinnlight,15.6,1,no,no,32823.3,92
asus,rog,amd,ryzen 9,16.0,ddr4,1024,0,windows,64,4,casual,15.6,0,no,no,77043.3,4
lenovo,lenovo,amd,ryzen 7,16.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,yes,66993.3,1
asus,vivobook,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,39523.3,34
asus,chromebook,intel,celeron dual,4.0,lpddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,16743.3,93
lenovo,thinkpad,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,0,no,no,38518.3,4
acer,intel,intel,core i5,8.0,lpddr4x,512,0,windows,64,0,thinnlight,14.0,1,no,yes,40863.3,1
dell,inspiron,intel,core i5,4.0,ddr4,256,1024,windows,64,0,thinnlight,14.9,1,no,yes,37379.3,4
acer,aspire,intel,core i5,8.0,ddr4,0,1024,windows,64,0,thinnlight,14.0,1,no,no,31483.300000000003,28
asus,ryzen,amd,ryzen 7,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,53593.3,0
asus,vivobook,intel,core i5,16.0,ddr4,256,1024,windows,64,0,casual,15.6,1,no,yes,43543.3,51
hp,core,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,15.6,0,no,no,30585.500000000004,4
lenovo,ideapad,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,1,no,yes,28133.300000000003,160
hp,15s,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,yes,29272.300000000003,490
asus,tuf,intel,core i5,8.0,ddr4,1024,0,windows,64,4,gaming,17.3,1,no,yes,52253.3,26
asus,chromebook,intel,celeron dual,4.0,lpddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,14398.300000000001,113
asus,core,intel,core i5,16.0,ddr4,256,1024,windows,64,0,thinnlight,17.3,0,no,no,39523.3,1
asus,rog,amd,ryzen 9,16.0,ddr4,1024,0,windows,64,6,casual,15.6,1,no,yes,87093.3,35
asus,core,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,32153.300000000003,152
apple,2020,apple,m1 processor,8.0,ddr4,256,0,mac,64,0,casual,13.3,1,no,no,57613.3,629
dell,ryzen,amd,ryzen 7,16.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,no,62973.3,0
hp,pavilion,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,38859.33,15
hp,core,intel,core i5,8.0,ddr4,512,0,windows,32,0,thinnlight,14.0,1,no,yes,40199.33,1
asus,vivobook,intel,core i7,16.0,ddr4,256,1024,windows,64,4,gaming,15.6,0,no,no,44883.3,4
asus,vivobook,intel,core i7,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,yes,52253.3,5
dell,g15,intel,core i5,16.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,no,53593.3,0
asus,vivobook,amd,ryzen 5,16.0,ddr4,512,0,windows,64,0,casual,15.6,0,no,no,38183.3,1
lenovo,ideapad,intel,core i7,8.0,ddr4,512,0,windows,64,4,gaming,15.6,0,no,no,53593.3,2
dell,vostro,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,28133.300000000003,7
hp,pavilion,amd,ryzen 5,8.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,yes,48903.3,4
asus,tuf,intel,core i5,8.0,ddr4,512,0,windows,64,4,gaming,15.6,1,no,no,42873.3,0
hp,pavilion,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,42873.3,1
infinix,inbook,intel,core i3,8.0,lpddr4x,256,0,windows,64,0,thinnlight,14.0,0,no,no,22103.300000000003,265
asus,chromebook,intel,celeron dual,4.0,lpddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,16073.300000000001,170
asus,rog,intel,core i5,8.0,ddr4,1024,0,windows,64,4,casual,15.6,1,no,no,52253.3,26
hp,pavilion,amd,ryzen 5,16.0,ddr4,512,0,windows,64,0,casual,13.3,1,no,yes,44213.3,18
asus,vivobook,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,40193.3,0
dell,inspiron,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,no,30478.300000000003,4
lenovo,ideapad,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,no,37513.3,0
asus,vivobook,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,40193.3,0
asus,vivobook,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,14.1,1,no,yes,30143.300000000003,0
hp,pavilion,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,42873.3,0
asus,asus,amd,ryzen 7,16.0,ddr4,512,0,windows,64,4,gaming,17.3,0,no,no,55603.3,145
asus,rog,amd,ryzen 9,16.0,lpddr4x,1024,0,windows,64,4,casual,13.4,1,yes,yes,77043.3,6
asus,vivobook,intel,core i3,4.0,ddr4,0,1024,windows,64,0,casual,15.6,1,no,no,24113.300000000003,0
hp,envy,amd,ryzen 5,16.0,ddr4,512,0,windows,64,0,casual,13.3,1,yes,yes,65673.40000000001,0
dell,vostro,intel,core i5,16.0,ddr4,512,0,windows,64,2,casual,14.0,1,no,yes,46558.3,0
asus,vivobook,intel,core i3,8.0,ddr4,256,0,windows,64,0,casual,15.6,1,no,no,25788.300000000003,3
acer,predator,intel,core,8.0,ddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,66993.3,186
asus,eeebook,intel,celeron dual,4.0,ddr4,0,0,windows,64,0,casual,14.76240673886883,0,no,no,15403.300000000001,0
apple,macbook,intel,core i5,16.0,lpddr4x,1024,0,mac,64,0,casual,13.0,1,no,no,120593.3,3
hp,chromebook,mediatek,mediatek kompanio,4.0,ddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,15403.300000000001,553
dell,inspiron,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,yes,yes,59891.3,0
asus,zenbook,intel,core i5,8.0,lpddr4x,512,0,windows,64,0,thinnlight,13.3,0,no,no,50243.3,0
dell,vostro,intel,core i5,8.0,ddr4,256,1024,windows,64,0,thinnlight,14.0,1,no,yes,36843.3,28
acer,nitro,amd,5,8.0,ddr4,0,0,windows,32,6,casual,14.76240673886883,0,no,no,62779.00000000001,47
dell,3000,intel,core i3,8.0,ddr4,0,1024,windows,32,0,casual,15.6,0,no,no,29346.0,0
hp,pavilion,intel,core i7,16.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,yes,62437.3,0
lenovo,core,intel,core i3,4.0,ddr4,256,0,windows,64,0,thinnlight,15.0,1,no,yes,26123.300000000003,13
apple,2021,apple,m1 pro,16.0,unified,1024,0,mac,64,0,casual,14.2,1,no,no,151413.30000000002,8
acer,aspire,amd,ryzen 3,4.0,ddr4,512,0,windows,64,0,casual,15.6,0,no,no,23443.300000000003,0
lenovo,thinkbook,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,3,yes,yes,43543.3,12
lenovo,legion,intel,core i5,8.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,yes,44548.3,36
dell,inspiron,amd,ryzen 3,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,0,no,no,27195.300000000003,0
hp,pavilion,intel,core i5,8.0,ddr4,256,1024,windows,64,4,gaming,15.6,1,no,yes,48233.3,20
hp,hp,amd,ryzen 7,16.0,ddr4,1024,0,windows,64,0,thinnlight,13.3,1,yes,yes,62303.3,0
dell,vostro,intel,core i5,8.0,ddr4,0,1024,windows,64,0,thinnlight,14.0,1,no,yes,32823.3,46
dell,inspiron,intel,core i5,16.0,ddr4,512,0,windows,64,2,casual,15.6,1,no,yes,60100.340000000004,0
lenovo,thinkpad,intel,core i3,4.0,ddr4,256,0,windows,64,0,casual,15.6,1,no,yes,30143.300000000003,4
asus,zenbook,intel,core i7,16.0,lpddr4x,512,0,windows,64,0,casual,13.3,1,no,yes,63643.3,0
lenovo,thinkbook,intel,core i7,16.0,ddr4,512,0,windows,64,0,casual,14.0,3,yes,yes,56943.3,2
hp,pavilion,amd,ryzen 5,16.0,ddr4,512,0,windows,64,2,casual,14.0,1,no,yes,42873.3,13
lenovo,ideapad,intel,core i5,16.0,ddr4,512,0,windows,64,2,casual,15.6,1,no,yes,47563.3,4
lenovo,ideapad,intel,core i3,4.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,24448.300000000003,0
asus,pentium,intel,pentium quad,4.0,ddr4,0,1024,windows,64,0,casual,15.6,1,no,no,17413.3,658
hp,x360,intel,core i5,8.0,ddr4,256,0,windows,64,0,casual,14.0,1,no,no,43811.3,0
asus,pentium,intel,pentium quad,4.0,ddr4,0,1024,windows,64,0,casual,15.6,1,no,no,17413.3,350
infinix,inbook,intel,core i5,8.0,lpddr4x,512,0,windows,64,0,thinnlight,14.0,0,no,no,28468.300000000003,65
hp,envy,intel,core i7,16.0,ddr4,1024,0,windows,64,6,casual,15.6,1,no,yes,96942.3,4
lenovo,core,intel,core i3,8.0,ddr4,0,1024,windows,32,0,casual,15.6,0,no,no,26123.300000000003,0
dell,3511,intel,core i5,8.0,ddr4,256,1024,windows,64,2,casual,15.6,1,no,no,46833.0,0
lenovo,ideapad,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,2,no,yes,28803.300000000003,99
lenovo,ideapad,intel,core i5,8.0,ddr4,256,1024,windows,64,2,casual,15.6,1,no,yes,44213.3,19
asus,vivobook,intel,core i3,4.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,no,23443.300000000003,490
asus,ryzen,amd,ryzen 5,8.0,ddr4,512,0,windows,32,0,thinnlight,15.6,1,no,yes,33426.3,1
msi,ge76,intel,i7,8.0,ddr4,0,0,windows,32,6,casual,14.76240673886883,0,no,no,195097.30000000002,3
asus,vivobook,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,17.3,1,yes,yes,39523.3,0
lenovo,core,intel,core i3,8.0,ddr4,256,0,windows,32,0,casual,15.6,0,no,no,26109.9,0
lenovo,ideapad,intel,core i5,8.0,ddr4,512,0,windows,64,2,casual,15.6,1,no,yes,38525.0,0
asus,vivobook,intel,core i3,8.0,ddr4,0,1024,windows,64,0,casual,15.6,1,no,no,26063.0,0
dell,inspiron,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,33493.3,7
asus,zenbook,intel,core i7,16.0,lpddr4x,1024,0,windows,64,0,thinnlight,13.3,0,no,no,66993.3,0
dell,inspiron,intel,core i5,8.0,ddr4,512,0,windows,64,2,casual,14.0,1,yes,yes,53593.3,2
dell,vostro,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,39858.3,0
asus,asus,intel,pentium quad,4.0,ddr4,0,1024,windows,64,0,casual,15.6,0,no,no,20622.600000000002,0
hp,pavilion,amd,ryzen 7,16.0,ddr4,1024,0,windows,64,0,thinnlight,13.3,1,no,yes,56407.3,0
msi,modern,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,0,no,no,37882.47,87
asus,core,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,17.3,0,no,no,40193.3,0
dell,inspiron,amd,ryzen 3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,0,no,no,25051.300000000003,5
apple,macbook,intel,core i5,16.0,lpddr4x,1024,0,mac,64,0,casual,13.0,1,no,no,120593.3,5
msi,core,intel,core i7,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,0,no,no,38853.3,0
lenovo,thinkbook,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,13.0,1,no,yes,43543.3,4
asus,zenbook,amd,ryzen 7,16.0,lpddr4x,1024,0,windows,64,0,casual,14.0,0,yes,no,75703.3,0
hp,envy,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,casual,13.3,1,yes,yes,49579.33,27
dell,core,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,no,41064.3,1
asus,chromebook,intel,celeron dual,4.0,lpddr4,0,0,windows,32,0,casual,14.76240673886883,0,no,no,13728.300000000001,91
hp,envy,intel,core i7,16.0,ddr4,512,0,windows,64,0,casual,13.3,1,yes,yes,69003.3,2
lenovo,core,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,36843.3,1
dell,inspiron,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,no,26793.300000000003,1
lenovo,thinkbook,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,13.0,1,no,yes,40193.3,4
msi,delta,amd,ryzen 9,16.0,ddr4,1024,0,windows,64,0,casual,15.6,0,no,no,98483.3,0
asus,asus,intel,core i5,16.0,ddr4,512,0,windows,32,6,casual,15.6,1,no,no,56943.3,0
asus,vivobook,intel,core i5,8.0,ddr4,256,1024,windows,64,0,casual,14.0,1,no,no,33493.3,2
hp,15s,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,30478.300000000003,66
lenovo,ideapad,intel,celeron dual,4.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,21305.33,0
hp,pavilion,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,48575.0,3
lenovo,ideapad,intel,core i5,8.0,ddr4,512,0,windows,64,4,gaming,15.6,0,no,no,40193.3,6
lenovo,a6-9225,amd,a6-9225 processor,4.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,0,no,no,16743.3,12
dell,inspiron,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,40863.3,42
hp,core,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,1,no,yes,30083.0,107
dell,core,intel,core i7,16.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,no,66993.3,0
asus,vivobook,amd,ryzen 3,8.0,ddr4,256,0,windows,64,0,casual,14.1,1,no,no,25453.300000000003,3
asus,vivobook,intel,pentium quad,8.0,ddr4,256,0,windows,64,0,thinnlight,14.1,1,no,yes,22773.300000000003,0
dell,g5,amd,ryzen 5,8.0,ddr4,512,0,windows,64,6,casual,14.96,0,no,no,51047.3,64
lenovo,yoga,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,yes,yes,58953.3,6
dell,inspiron,intel,core i3,8.0,ddr4,0,1024,windows,32,0,casual,14.96,0,no,no,27396.300000000003,46
dell,vostro,intel,core i3,4.0,ddr4,256,1024,windows,64,0,thinnlight,14.0,1,no,yes,29205.300000000003,0
msi,pulse,intel,i7,8.0,ddr4,0,0,windows,32,4,casual,14.76240673886883,0,no,no,73425.3,2
asus,rog,amd,ryzen 7,16.0,ddr5,512,0,windows,64,4,casual,15.6,0,no,no,71683.3,0
hp,14s,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,0,no,no,38853.3,123
asus,asus,intel,core i7,16.0,ddr4,512,0,windows,64,4,gaming,17.3,0,no,no,63643.3,15
dell,inspiron,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,15.3,1,no,yes,46558.3,7
lenovo,thinkbook,intel,core i5,16.0,ddr4,512,0,windows,64,0,casual,14.0,3,yes,yes,46223.3,8
lenovo,core,intel,core i5,16.0,ddr4,512,0,windows,32,0,casual,15.6,1,no,yes,52253.3,2
msi,stealth,intel,core i7,16.0,ddr4,1024,0,windows,64,6,casual,15.6,2,no,no,80393.3,3
hp,core,intel,core i3,8.0,ddr4,512,0,windows,32,0,casual,14.1,0,no,no,25995.33,1
asus,zephyrus,intel,core i7,16.0,ddr4,1024,0,windows,32,4,casual,16.0,1,no,no,130643.3,0
hp,envy,intel,core i7,16.0,ddr4,512,0,windows,64,0,casual,13.3,1,yes,yes,69680.0,0
msi,core,intel,core i7,8.0,ddr4,512,0,windows,64,2,casual,14.0,0,no,no,51583.3,0
msi,modern,amd,ryzen 5,8.0,ddr4,256,0,windows,64,0,casual,14.0,1,no,no,33493.3,0
msi,core,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,26123.300000000003,11
dell,vostro,intel,core i5,8.0,ddr4,256,1024,windows,64,0,thinnlight,14.0,1,no,yes,39523.3,1
lenovo,yoga,amd,ryzen 5,16.0,lpddr4x,512,0,windows,64,0,thinnlight,13.3,3,yes,yes,50114.66,0
asus,rog,amd,ryzen 7,16.0,ddr5,1024,0,windows,32,4,casual,15.6,1,no,no,77043.3,0
msi,creator,intel,core i9,16.0,ddr4,1024,0,windows,64,6,casual,16.0,0,no,no,129303.3,0
samsung,galaxy,qualcomm,snapdragon 7c,4.0,lpddr4x,0,0,windows,32,0,casual,14.76240673886883,0,no,no,26123.300000000003,0
asus,zenbook,intel,core i5,16.0,lpddr4x,512,0,windows,64,0,casual,14.0,1,yes,no,71013.3,11
msi,prestige,intel,core i5,16.0,lpddr4x,512,0,windows,64,0,casual,14.0,1,no,no,53593.3,0
lenovo,core,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,no,24783.300000000003,10
asus,vivobook,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,39523.3,13
dell,vostro,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,37178.3,27
asus,vivobook,amd,ryzen 7,16.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,62303.3,4
lenovo,ideapad,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,46893.3,2
hp,ryzen,amd,ryzen 5,8.0,ddr4,512,0,windows,32,4,casual,16.1,0,no,no,45627.0,0
asus,zenbook,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,13.3,1,yes,yes,56943.3,2
dell,inspiron,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,0,no,no,40193.3,7
hp,15s,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,yes,26793.300000000003,45
dell,inspiron,amd,ryzen 5,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,1,no,no,29741.300000000003,24
asus,zenbook,intel,core i7,16.0,lpddr3,1024,0,windows,64,2,casual,14.0,1,no,yes,83743.3,1
lenovo,yoga,amd,ryzen 5,16.0,ddr4,512,0,windows,64,0,thinnlight,13.3,1,yes,yes,52253.3,0
dell,xps,intel,core i5,8.0,lpddr4x,512,0,windows,64,0,thinnlight,13.3,1,no,yes,74966.3,0
dell,inspiron,intel,core i7,16.0,ddr4,1024,0,windows,64,2,casual,15.6,0,no,no,82014.70000000001,0
dell,inspiron,intel,core i5,8.0,ddr4,512,0,windows,64,2,casual,15.6,1,no,no,44213.3,0
asus,zenbook,intel,core i5,8.0,lpddr4x,512,0,windows,32,0,casual,14.0,1,no,yes,48903.3,14
hp,pavilion,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,yes,yes,46408.89,0
dell,inspiron,intel,core i3,8.0,ddr4,256,1024,windows,64,0,casual,15.6,1,no,no,29942.300000000003,0
dell,inspiron,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,47630.3,6
hp,spectre,intel,core i7,16.0,ddr4,1024,0,windows,64,0,casual,13.3,1,yes,no,120593.3,5
lenovo,ideapad,intel,ryzen 7,16.0,ddr4,512,0,windows,32,4,casual,16.0,3,no,yes,54598.3,0
msi,katana,intel,core i5,8.0,ddr4,512,0,windows,64,4,casual,15.6,2,no,no,50243.3,0
hp,15s,amd,ryzen 3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,29808.300000000003,42
dell,vostro,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,29766.09,0
acer,swift,amd,ryzen 7,16.0,ddr4,1024,0,windows,64,4,casual,14.0,1,no,no,66993.3,0
msi,summit,intel,core i7,16.0,ddr4,1024,0,windows,64,4,casual,15.6,2,yes,no,103843.3,2
dell,ryzen,amd,ryzen 5,8.0,ddr4,1024,0,windows,32,0,casual,15.6,0,no,no,38793.0,1
asus,zenbook,intel,core i5,8.0,lpddr3,512,0,windows,64,0,casual,13.3,1,no,yes,53593.3,3
asus,tuf,amd,ryzen 7,8.0,ddr4,1024,0,windows,32,4,gaming,15.6,0,no,no,64313.3,3
lenovo,ideapad,intel,core i5,8.0,ddr4,256,1024,windows,64,4,gaming,15.6,0,no,no,49975.3,128
msi,modern,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,no,37178.3,16
asus,vivobook,intel,core i3,8.0,ddr4,256,0,windows,64,0,casual,14.0,1,no,no,24113.300000000003,0
acer,aspire,intel,core i5,8.0,ddr4,0,1024,windows,64,2,casual,15.6,1,no,yes,40199.33,28
lenovo,yoga,intel,core i7,16.0,lpddr4x,1024,0,windows,64,0,casual,13.3,1,no,yes,82403.3,2
dell,vostro,intel,core i5,8.0,ddr4,512,0,windows,64,2,thinnlight,14.0,1,no,yes,44548.3,17
asus,vivobook,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,yes,35778.0,6
hp,pavilion,amd,ryzen 5,8.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,36910.3,52
acer,predator,intel,core i7,16.0,ddr4,2048,0,windows,64,8,casual,15.6,1,no,no,107193.3,0
asus,zenbook,amd,ryzen 5,16.0,lpddr4x,512,0,windows,64,0,casual,14.0,0,yes,no,61633.3,0
hp,pavilion,intel,core i7,16.0,ddr4,512,0,windows,64,4,gaming,15.6,1,no,yes,60427.3,1
asus,vivobook,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,yes,34604.83,0
asus,vivobook,amd,ryzen 7,16.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,yes,38183.3,0
msi,gs66,intel,i7,8.0,ddr4,0,0,windows,32,8,casual,14.76240673886883,0,no,no,138884.30000000002,0
dell,inspiron,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,yes,yes,49915.0,5
dell,xps,intel,core i5,16.0,lpddr4x,512,0,windows,64,0,thinnlight,13.3,1,no,yes,77043.3,0
hp,core,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,yes,28133.300000000003,5
dell,vostro,intel,core i5,8.0,ddr4,512,0,windows,64,2,thinnlight,14.0,0,no,no,41533.3,4
asus,rog,intel,core i5,8.0,ddr4,1024,0,windows,64,4,casual,15.6,0,no,no,55603.3,118
acer,aspire,amd,dual core,4.0,ddr4,256,0,windows,64,0,casual,14.0,1,no,no,20093.300000000003,0
apple,macbook,intel,core i5,16.0,lpddr4x,512,0,mac,64,0,casual,13.0,1,no,no,107193.3,5
asus,vivobook,intel,core i5,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,no,31483.300000000003,179
